split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Actuator Controls,16,0,0.0,1,0.5049052622222222,1.980569573782484,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Actuator Outputs,25,0,0.0,1,0.7446180683333333,1.3429703663225416,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Actuator Outputs+Controls,41,0,0.0,2,1.206307534722222,1.657952008449108,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Position.X,54,15,0.2777777777777778,27,0.9378571405555555,28.789032820079715,21.93557773333334,44.07965100000001
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Position.Y,55,15,0.2727272727272727,38,1.0971975144444444,34.63369129052479,22.567953999999993,58.916042000000004
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,27.027106000000003,27.027106000000003
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Actuator Controls,16,4,0.25,6,0.5049052622222222,11.883417442694904,9.257424749999984,20.962381999999934
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Actuator Outputs,25,3,0.12,9,0.7446180683333333,12.086733296902874,22.339021333333346,49.02531300000001
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Actuator Outputs+Controls,41,7,0.17073170731707318,13,1.206307534722222,10.776688054919202,14.86382328571428,49.02531300000001
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Position.X,54,1,0.018518518518518517,6,0.9378571405555555,6.397562848906603,42.927438999999595,42.927438999999595
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Position.Y,55,0,0.0,6,1.0971975144444444,5.4684775721881245,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Position.Z,113,0,0.0,2,1.4244670750000001,1.4040338559597805,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
