split,seed,score_source,allocation,decision,budget,system_budget_per_hour,mechanical_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Controls,16,4,0.25,7,0.5049052622222222,13.863987016477388,9.257424749999984,20.962381999999934
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Outputs,25,3,0.12,10,0.7446180683333333,13.429703663225416,22.339021333333346,49.02531300000001
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Outputs+Controls,41,7,0.17073170731707318,15,1.206307534722222,12.43464006336831,14.86382328571428,49.02531300000001
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Position.X,54,16,0.2962962962962963,33,0.9378571405555555,35.186595668986314,23.247569062499977,44.07965100000001
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Position.Y,55,15,0.2727272727272727,44,1.0971975144444444,40.102168862712915,22.567953999999993,58.916042000000004
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Position.Z,113,0,0.0,2,1.4244670750000001,1.4040338559597805,,
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,27.027106000000003,27.027106000000003
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Position.Y,55,0,0.0,10,1.0971975144444444,9.114129286980209,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Position.Z,113,0,0.0,5,1.4244670750000001,3.510084639899451,,
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
