split,seed,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm_recon,threshold,critical,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
split_00,0,lstm_recon,threshold,critical,Actuator Outputs,25,1,0.04,5,0.7446180683333333,6.714851831612708,3.9689970000000017,3.9689970000000017
split_00,0,lstm_recon,threshold,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,7,1.2128293091666666,5.77162832980157,3.9689970000000017,3.9689970000000017
split_00,0,lstm_recon,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm_recon,threshold,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,lstm_recon,threshold,critical,Position.X,145,57,0.3931034482758621,25,2.3575775725,10.604104947219081,6.620852982456141,61.07983399999999
split_00,0,lstm_recon,threshold,critical,Position.Y,96,28,0.2916666666666667,19,1.713746643611111,11.086819671292988,6.466394821428574,19.001848999999993
split_00,0,lstm_recon,threshold,critical,Position.Z,121,1,0.008264462809917356,1,1.5845958772222224,0.6310757300170363,24.99839300000002,24.99839300000002
split_00,0,lstm_recon,threshold,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,4.523490999999979,4.980281999999988
split_00,0,lstm_recon,k_of_n,critical,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
split_00,0,lstm_recon,k_of_n,critical,Actuator Outputs,25,0,0.0,5,0.7446180683333333,6.714851831612708,,
split_00,0,lstm_recon,k_of_n,critical,Actuator Outputs+Controls,42,0,0.0,7,1.2128293091666666,5.77162832980157,,
split_00,0,lstm_recon,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm_recon,k_of_n,critical,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,lstm_recon,k_of_n,critical,Position.X,145,51,0.35172413793103446,30,2.3575775725,12.724925936662897,7.729407274509808,62.092578999999986
split_00,0,lstm_recon,k_of_n,critical,Position.Y,96,16,0.16666666666666666,29,1.713746643611111,16.92198791934193,7.132829187500007,17.979480000000002
split_00,0,lstm_recon,k_of_n,critical,Position.Z,121,0,0.0,2,1.5845958772222224,1.2621514600340726,,
